Word,Pronunciation,Definition,HSK Level
迅速,xùn sù,rapid; speedy; fast,5
押金,yā jīn,deposit; cash pledge,6
压力,yā lì,pressure,4
压迫,yā pò,to oppress; to repress; to constrict; oppression; stress (physics),6
压岁钱,yā suì qián,money given to children as new year present,6
压缩,yā suō,to compress; compression,6
压抑,yā yì,to constrain or repress emotions; oppressive; stifling; depressing; repression,6
压榨,yā zhà,"to press; to squeeze; to extract juice, oil etc by squeezing",6
压制,yā zhì,to suppress; to inhibit; to stifle,6
牙膏,yá gāo,toothpaste; CL:管[guan3],4
亚军,yà jūn,second place (in a sports contest); runner-up,6
亚洲,Yà zhōu,Asia; Asian,4
呀,ya,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)",4
烟花爆竹,yān huā bào zhú,fireworks and crackers,6
淹没,yān mò,to submerge; to drown; to flood; to drown out (also fig.),6
盐,yán,salt; CL:粒[li4],4
延长,yán cháng,to prolong; to extend; to delay,5
严格,yán gé,strict; stringent; tight; rigorous,4
沿海,yán hǎi,coastal,6
严寒,yán hán,bitter cold; severe winter,6
严禁,yán jìn,strictly prohibit,6
研究生,yán jiū shēng,graduate student; postgraduate student; research student,4
严峻,yán jùn,grim; severe; rigorous,6
严厉,yán lì,severe; strict,6
言论,yán lùn,speech; expression of opinion; public opinion,6
严密,yán mì,"strict; tight (organization, surveillance etc)",6
延期,yán qī,to delay; to extend; to postpone; to defer,6
炎热,yán rè,blistering hot; sizzling hot (weather),6
颜色,yán sè,color; CL:個|个[ge4],2
延伸,yán shēn,to extend; to spread,6
岩石,yán shí,rock,6
严肃,yán sù,solemn; solemnity,5
延续,yán xù,to continue; to go on; to last,6
严重,yán zhòng,grave; serious; severe; critical,4
演变,yǎn biàn,to develop; to evolve,6
演出,yǎn chū,"to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:場|场[chang2],次[ci4]",4
掩盖,yǎn gài,to conceal; to hide behind; to cover up,6
眼光,yǎn guāng,vision,6
掩护,yǎn hù,to screen; to shield; to cover; protection; cover; CL:面[mian4],6
演讲,yǎn jiǎng,lecture; to make a speech,6
眼镜,yǎn jìng,spectacles; eyeglasses; CL:副[fu4],3
眼睛,yǎn jing,"eye; CL:隻|只[zhi1],雙|双[shuang1]",2
眼色,yǎn sè,a wink; to signal with one's eyes,6
眼神,yǎn shén,expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (topolect),6
掩饰,yǎn shì,to conceal a fault; to gloss over,6
演习,yǎn xí,exercise; practice; to put on a play; to act,6
眼下,yǎn xià,now; at present; subocular (medicine),6
演绎,yǎn yì,to deduce; to infer,6
演员,yǎn yuán,"actor or actress; performer; CL:個|个[ge4],位[wei4],名[ming2]",4
演奏,yǎn zòu,to play a musical instrument; to perform music,6
宴会,yàn huì,"banquet; feast; dinner party; CL:席[xi2],個|个[ge4]",5
验收,yàn shōu,to check on receipt; an inventory of received goods; to verify and accept (a delivery),6
厌恶,yàn wù,to loath; to hate; disgusted with sth,6
验证,yàn zhèng,to inspect and verify; experimental verification,6
阳光,yáng guāng,sunshine; CL:線|线[xian4],4
羊肉,yáng ròu,mutton,2
阳台,yáng tái,balcony; porch,5
痒,yǎng,to itch; to tickle,5
养成,yǎng chéng,to cultivate; to raise; to form (a habit); to acquire,4
氧气,yǎng qì,oxygen,6
样品,yàng pǐn,sample; specimen,6
样式,yàng shì,type; style,5
样子,yàng zi,manner; air; looks; aspect,4
腰,yāo,waist; lower back; pocket; middle; loins,5
邀请,yāo qǐng,to invite; invitation; CL:個|个[ge4],4
要求,yāo qiú,to request; to require; to stake a claim; to ask; to demand; CL:點|点[dian3],3
摇,yáo,shake; to rock,5
摇摆,yáo bǎi,to waver; swaying (of building in an earthquake),6
摇滚,yáo gǔn,to shake and boil; rock and roll (music),6
摇晃,yáo huàng,to rock; to shake; to sway,6
遥控,yáo kòng,remote control,6
谣言,yáo yán,rumor,6
遥远,yáo yuǎn,distant; remote,6
咬,yǎo,to bite; to nip,5
咬牙切齿,yǎo yá qiè chǐ,gnashing one's teeth (idiom); displaying extreme anger; fuming with rage between gritted teeth,6
药,yào,"medicine; drug; cure; CL:種|种[zhong3],服[fu4]",2
要,yào,important; vital; to want; will; going to (as future auxiliary); may; must,2
要不,yào bù,"otherwise; or; or else; how about...? (one choice or the other); either this, or else...",5
要不然,yào bù rán,otherwise; or else; or,6
要点,yào diǎn,main point; essential,6
要命,yào mìng,to cause sb's death; very; extremely; frightening; annoying,6
要是,yào shi,if,5
钥匙,yào shi,key; CL:把[ba3],4
要素,yào sù,essential factor; key constituent,6
耀眼,yào yǎn,to dazzle; dazzling,6
爷爷,yé ye,(informal) father's father; paternal grandfather; CL:個|个[ge4],3
也,yě,also; too; (in classical Chinese) final particle serving as copula,2
野蛮,yě mán,barbarous; uncivilized,6
野心,yě xīn,ambition; wild schemes; careerism,6
也许,yě xǔ,perhaps; maybe,4
夜,yè,night,5
页,yè,page; leaf,4
液体,yè tǐ,liquid,5
业务,yè wù,business; profession; CL:個|个[ge4],5
业余,yè yú,spare time; amateur; extra-curricular,5
叶子,yè zi,foliage; leaf; CL:片[pian4],4
一,yī,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)",1
一般,yì bān,same; ordinary; common; general; generally; in general,3
一辈子,yí bèi zi,(for) a lifetime,5
一边,yì biān,one side; either side; on the one hand; on the other hand; doing while,3
依次,yī cì,in order; in succession,6
一旦,yí dàn,"in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day",5
一定,yí dìng,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,3
一度,yí dù,for a time; at one time; one time; once,6
一帆风顺,yì fān fēng shùn,"single sail, gentle wind (idiom); plain sailing; to go smoothly",6
衣服,yī fu,"clothes; CL:件[jian4],套[tao4]",1
一共,yí gòng,altogether,3
一贯,yí guàn,consistent; constant; from start to finish; all along; persistent,6
一会儿,yí huì r5,a while,3
依旧,yī jiù,as before; still,6
一举两得,yì jǔ liǎng dé,"one move, two gains (idiom); two birds with one stone",6
依据,yī jù,according to; basis; foundation,6
依靠,yī kào,to rely on sth (for support etc); to depend on,6
依赖,yī lài,to depend on; to be dependent on,6
一流,yī liú,top quality; front ranking,6
一路平安,yí lù píng ān,to have a pleasant journey; Bon voyage!,5
一律,yí lǜ,same; uniformly; all; without exception,6
一目了然,yí mù liǎo rán,obvious at a glance (idiom),6
一起,yì qǐ,in the same place; together; with; altogether (in total),2
一切,yī qiè,everything; every; all,4
依然,yī rán,still; as before,5
一如既往,yī rú jì wǎng,just as in the past (idiom); as before; continuing as always,6
衣裳,yī shang,clothes,6
医生,yī shēng,"doctor; CL:個|个[ge4],位[wei4],名[ming2]",1
一丝不苟,yì sī bù gǒu,not one thread loose (idiom); strictly according to the rules; meticulous; not one hair out of place,6
依托,yī tuō,to rely on; to depend on,6
一向,yí xiàng,all along; the whole time; constantly; earlier; lately,6
一样,yí yàng,same; like; equal to; the same as; just like,3
医院,yī yuàn,"hospital; CL:所[suo3],家[jia1],座[zuo4]",1
一再,yí zài,repeatedly,6
一直,yī zhí,straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along,3
一致,yí zhì,unanimous; identical (views or opinions),5
遗产,yí chǎn,heritage; legacy; inheritance; bequest; CL:筆|笔[bi3],6
遗传,yí chuán,heredity; inheritance; to transmit,6
移动,yí dòng,to move; movement; migration; mobile; portable,5
遗憾,yí hàn,regret; pity; sorry,5
疑惑,yí huò,to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions,6
遗留,yí liú,(leave or be a) legacy; left over; hand down (to next generation),6
移民,yí mín,to immigrate; to migrate; emigrant; immigrant,5
仪器,yí qì,instrument; apparatus; CL:臺|台[tai2],6
遗失,yí shī,to lose; lost,6
仪式,yí shì,ceremony,6
疑问,yí wèn,a question; sth not understood; to query; interrogative (gramm.); CL:個|个[ge4],5
乙,yǐ,"second of 10 heavenly stems 十天干; second in order; letter ""B"" or roman ""II"" in list ""A, B, C"", or ""I, II, III"" etc; second party (in legal contract, usually 乙方|乙方[yi3 fang1], as opposed to 甲方|甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5)",5
以,yǐ,to use as; according to; because of,4
以便,yǐ biàn,so that; so as to; in order to,6
以后,yǐ hòu,after; later; afterwards; following; later on; in the future,3
以及,yǐ jí,as well as; too; and,5
已经,yǐ jīng,already,2
以来,yǐ lái,since (a previous event),5
以免,yǐ miǎn,in order to avoid; so as not to,6
以前,yǐ qián,before; formerly; previous; ago,3
以往,yǐ wǎng,in the past; formerly,6
以为,yǐ wéi,to believe; to think; to consider; to be under the impression,3
以至,yǐ zhì,down to; up to; to such an extent as to ... (also written 以至於|以至于[yi3 zhi4 yu2]),6
以致,yǐ zhì,to such an extent as to; down to; up to,6
椅子,yǐ zi,"chair; CL:把[ba3],套[tao4]",1
亿,yì,a hundred million; calculate,4
亦,yì,also,6
翼,yì,wing,6
异常,yì cháng,exceptional; abnormal; an anomaly,6
意见,yì jiàn,"idea; opinion; suggestion; objection; complaint; CL:點|点[dian3],條|条[tiao2]",4
毅力,yì lì,perseverance; willpower,6
意料,yì liào,to anticipate; to expect; to reckon ahead,6
议论,yì lùn,to comment; to talk about; to discuss; discussion; CL:個|个[ge4],5
毅然,yì rán,firmly; resolutely; without hesitation,6
意识,yì shí,consciousness; awareness; consciously (i.e. deliberately); to be aware,6
艺术,yì shù,art; CL:種|种[zhong3],4
意思,yì si,idea; opinion; meaning; wish; desire; CL:個|个[ge4],2
意图,yì tú,intent; intention; intend; schematic diagram,6
意外,yì wài,unexpected; accident; mishap; CL:個|个[ge4],5
意味着,yì wèi zhe,to signify; to mean; to imply,6
义务,yì wù,duty; obligation; commitment; volunteer duty; CL:項|项[xiang4]; mandatory; voluntary,5
意向,yì xiàng,disposition,6
意义,yì yì,meaning; significance; CL:個|个[ge4],5
意志,yì zhì,will; willpower; determination; CL:個|个[ge4],6
抑制,yì zhì,to inhibit; to keep down; to suppress,6
阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia,2
因此,yīn cǐ,thus; consequently; as a result,4
因而,yīn ér,"therefore; as a result; thus; and as a result, ...",5
阴谋,yīn móu,plot; conspiracy,6
因素,yīn sù,element; factor; CL:個|个[ge4],5
因为,yīn wèi,because; owing to; on account of,2
音响,yīn xiǎng,speakers or speaker (electronic); acoustics; sound field (in a room or theater),6
音乐,yīn yuè,"music; CL:張|张[zhang1],曲[qu3],段[duan4]",3
银,yín,silver; silver-colored; relating to money or currency,5
银行,yín háng,"bank; CL:家[jia1],個|个[ge4]",3
隐蔽,yǐn bì,to conceal; to hide; covert; under cover,6
引导,yǐn dǎo,to guide; to lead; to conduct; introduction,6
隐患,yǐn huàn,a danger concealed within sth; hidden damage; misfortune not visible from the surface,6
饮料,yǐn liào,drink; beverage,4
隐瞒,yǐn mán,to conceal; to hide (a taboo subject); to cover up the truth,6
引起,yǐn qǐ,to give rise to; to lead to; to cause; to arouse,4
引擎,yǐn qíng,engine (transliteration),6
饮食,yǐn shí,food and drink,6
隐私,yǐn sī,secrets; sth one hopes to conceal,6
引用,yǐn yòng,to quote; to cite; to recommend; to appoint,6
隐约,yǐn yuē,vague; faint; indistinct,6
印刷,yìn shuā,print,6
印象,yìn xiàng,impression; reflection; perception; CL:個|个[ge4],4
婴儿,yīng ér,infant; baby; CL:個|个[ge4]; lead (Pb),6
应该,yīng gāi,ought to; should; must,3
英俊,yīng jùn,handsome,5
英明,yīng míng,wise; brilliant,6
英雄,yīng xióng,hero; CL:個|个[ge4],5
英勇,yīng yǒng,bravery; gallant; valiant,6
赢,yíng,to beat; to win; to profit,4
迎接,yíng jiē,to meet; to welcome; to greet,5
盈利,yíng lì,profit; gain,6
迎面,yíng miàn,directly; head-on (collision); in one's face (of wind),6
荧屏,yíng píng,fluorescent screen; TV screen,6
营养,yíng yǎng,nutrition; nourishment; CL:種|种[zhong3],5
营业,yíng yè,to do business; to trade,5
影响,yǐng xiǎng,an influence; an effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3],3
影子,yǐng zi,shadow; reflection; CL:個|个[ge4],5
硬,yìng,hard; stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person),4
硬币,yìng bì,a coin; CL:枚[mei2],5
应酬,yìng chou,social niceties; social interaction; a dinner party,6
应付,yìng fu,to deal with; to cope,5
硬件,yìng jiàn,hardware,5
应聘,yìng pìn,to accept a job offer; to apply for an advertised position,5
应邀,yìng yāo,at sb's invitation; on invitation,6
应用,yìng yòng,to use; to apply; application; applicable,5
拥抱,yōng bào,to embrace; to hug,5
拥护,yōng hù,to endorse; to support,6
拥挤,yōng jǐ,to crowd,5
庸俗,yōng sú,filthy; vulgar; debased,6
拥有,yōng yǒu,to have; to possess,6
勇敢,yǒng gǎn,brave; courageous,4
永恒,yǒng héng,eternal; everlasting; fig. to pass into eternity (i.e. to die),6
勇气,yǒng qì,courage; valor,5
涌现,yǒng xiàn,to emerge in large numbers; to spring up; to emerge prominently,6
勇于,yǒng yú,to dare to; to be brave enough to,6
永远,yǒng yuǎn,forever; eternal,4
踊跃,yǒng yuè,to leap; to jump; eager; enthusiastically,6
用,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,3
用功,yòng gōng,diligent; industrious (in one's studies); to study hard; to make great effort,6
用户,yòng hù,user; consumer; subscriber; customer,6
用途,yòng tú,use; application,5
优点,yōu diǎn,merit; benefit; strong point; advantage; CL:個|个[ge4],4
优惠,yōu huì,preferential; favorable,5
悠久,yōu jiǔ,established; long,5
优美,yōu měi,graceful; fine; elegant,5
幽默,yōu mò,humor; humorous,4
优胜劣汰,yōu shèng liè tài,survival of the fittest,6
优势,yōu shì,superiority; dominance; advantage,5
优先,yōu xiān,priority,6
优秀,yōu xiù,outstanding; excellent,4
优异,yōu yì,exceptional; outstandingly good,6
忧郁,yōu yù,sullen; depressed; melancholy; dejected,6
优越,yōu yuè,superior; superiority,6
由,yóu,to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb),4
邮局,yóu jú,"post office; CL:家[jia1],個|个[ge4]",5
游览,yóu lǎn,to go sight-seeing; to tour; to visit; CL:次[ci4],5
油腻,yóu nì,grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character,6
油漆,yóu qī,oil paints; lacquer; to paint; CL:層|层[ceng2],6
尤其,yóu qí,especially; particularly,4
犹如,yóu rú,similar to; appearing to be,6
游戏,yóu xì,game; play; CL:場|场[chang3],3
游泳,yóu yǒng,swim,2
由于,yóu yú,due to; as a result of; thanks to; owing to; since; because,4
犹豫,yóu yù,to hesitate,5
油炸,yóu zhá,to deep fry,5
有,yǒu,to have; there is; there are; to exist; to be,1
友好,yǒu hǎo,friendly; amicable,4
有利,yǒu lì,advantageous; to have advantages; favorable,5
有名,yǒu míng,famous; well-known,3
有趣,yǒu qù,interesting; fascinating; amusing,4
有条不紊,yǒu tiáo bù wěn,regular and thorough (idiom); methodically arranged,6
友谊,yǒu yì,companionship; fellowship; friendship,4
又,yòu,(once) again; also; both... and...; again,3
右边,yòu bian,"right side; right, to the right",2
幼儿园,yòu ér yuán,kindergarten; nursery school,5
诱惑,yòu huò,to entice; to lure; to induce; to attract,6
幼稚,yòu zhì,young; childish; naive,6
鱼,yú,"fish; CL:條|条[tiao2],尾[wei3]",2
愚蠢,yú chǔn,silly; stupid,6
愉快,yú kuài,cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted,4
娱乐,yú lè,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,5
舆论,yú lùn,public opinion,6
愚昧,yú mèi,ignorant; uneducated,6
渔民,yú mín,fisherman; fisher folk,6
于是,yú shì,thereupon; as a result; consequently; thus; hence,4
与,yǔ,to give; to help; to get along with; and; with,5
语法,yǔ fǎ,grammar,4
羽毛球,yǔ máo qiú,shuttlecock; badminton; CL:個|个[ge4],4
与其,yǔ qí,"rather than...; 與其|与其 A 不如|不如 B (rather than A, better to B)",5
语气,yǔ qì,tone; manner of speaking; mood; CL:個|个[ge4],5
与日俱增,yǔ rì jù zēng,to increase steadily; to grow with each passing day,6
羽绒服,yǔ róng fú,down garment,6
语言,yǔ yán,"language; CL:門|门[men2],種|种[zhong3]",4
予以,yǔ yǐ,to give; to impose; to apply,6
宇宙,yǔ zhòu,universe; cosmos,5
愈,yù,heal; the more...the more; to recover; better,6
熨,yù,reconciled; smooth,6
预报,yù bào,forecast,5
遇到,yù dào,to meet; to run into; to come across,3
预订,yù dìng,to place an order; to book ahead,5
预防,yù fáng,to prevent; to take precautions against; to protect; to guard against; precautionary; prophylactic,5
预料,yù liào,to forecast; to anticipate; expectation,6
玉米,yù mǐ,corn; maize; CL:粒[li4],5
预期,yù qī,expect; expected,6
预赛,yù sài,preliminary competition; to hold preliminary heats,6
预算,yù suàn,budget,6
欲望,yù wàng,desire; longing; appetite; craving,6
预习,yù xí,to prepare a lesson,4
预先,yù xiān,beforehand; prior,6
预言,yù yán,to predict; prophecy,6
寓言,yù yán,fable; CL:則|则[ze2],6
预兆,yù zhào,omen; prognosis (in medicine),6
冤枉,yuān wang,hatred; injustice; bad luck; unjust treatment; wronged; not worthwhile,6
圆,yuán,circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify,2
元,yuán,first; primary; basic,4
元旦,yuán dàn,New Year's Day,5
原告,yuán gào,complainant; plaintiff,6
缘故,yuán gù,reason; cause,5
原来,yuán lái,original; former; originally; formerly; at first; so... actually,4
原理,yuán lǐ,principle; theory,6
原谅,yuán liàng,to excuse; to forgive; to pardon,4
原料,yuán liào,raw material; CL:個|个[ge4],5
园林,yuán lín,gardens; park; landscape garden,6
圆满,yuán mǎn,satisfactory,6
源泉,yuán quán,fountainhead; well-spring; water source; fig. origin,6
原始,yuán shǐ,first; original; primitive; original (document etc),6
元首,yuán shǒu,head of state,6
元素,yuán sù,element; element of a set; chemical element,6
原先,yuán xiān,former; original,6
元宵节,Yuán xiāo jié,"Lantern festival, the final event of the Spring festival 春節|春节, on 15th of first month of the lunar calendar",6
原因,yuán yīn,cause; origin; root cause; reason; CL:個|个[ge4],4
原则,yuán zé,principle; doctrine; CL:個|个[ge4],5
远,yuǎn,far; distant; remote,2
愿望,yuàn wàng,desire; wish; CL:個|个[ge4],5
愿意,yuàn yì,to wish; to want; ready; willing (to do sth),3
约会,yuē huì,"appointment; engagement; date; CL:次[ci4],個|个[ge4]",4
约束,yuē shù,to restrict; to limit to; to constrain; restriction; constraint,6
月,yuè,"moon; month; CL:個|个[ge4],輪|轮[lun2]",1
越,yuè,to exceed; to climb over; to surpass; the more... the more,3
阅读,yuè dú,to read; reading,4
岳父,yuè fù,"wife's father, father-in-law",6
月亮,yuè liang,moon,3
乐谱,yuè pǔ,a musical score; sheet music,6
晕,yūn,confused; dizzy; giddy; faint; swoon; lose consciousness; pass out,5
云,yún,cloud; CL:朵[duo3],3
允许,yǔn xǔ,to permit; to allow,4
蕴藏,yùn cáng,to hold in store; to contain (untapped reserves etc),6
运动,yùn dòng,movement; campaign; CL: 場|场[chang3]; sports,2
酝酿,yùn niàng,(of alcohol) to ferment; (of a crisis) to be brewing; to mull over (an issue); to hold exploratory discussions,6
运气,yùn qi,luck (good or bad),5
运输,yùn shū,transport; haulage; transit; CL:個|个[ge4],5
运算,yùn suàn,(mathematical) operation,6
运行,yùn xíng,be in motion; to move; to run,6
运用,yùn yòng,to use; to put to use,5
孕育,yùn yù,"to be pregnant; to produce offspring; to nurture (a development, school of thought, artwork etc); fig. replete with (culture etc)",6
砸,zá,smash; smashed; to fail; to get it wrong,6
杂技,zá jì,acrobatics; CL:場|场[chang3],6
杂交,zá jiāo,a hybrid,6
杂志,zá zhì,"magazine; CL:本[ben3],份[fen4],期[qi1]",4
咋,zǎ,(dialect) why; how; what,6
灾害,zāi hài,disastrous damage; scourge; CL:個|个[ge4],5
灾难,zāi nàn,disaster; catastrophe,6
栽培,zāi péi,to grow; to cultivate,6
宰,zǎi,to slaughter livestock; to govern or rule; to cheat customers; Imperial official in dynastic China,6
再,zài,"again; once more; re-; second; another; then (after sth, and not until then)",2
在,zài,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),1
在乎,zài hu,determined by; to care about; to mind,6
再见,zài jiàn,goodbye; see you again later,1
再接再厉,zài jiē zài lì,to continue the struggle (idiom); to persist; unremitting efforts,6
再三,zài sān,over and over again; again and again,5
在意,zài yì,to care about; to mind,6
咱们,zán men,we or us (including both the speaker and the person(s) spoken to); I or me; you,4
攒,zǎn,to accumulate; to amass; to hoard; to save,6
赞成,zàn chéng,approve; endorse,5
赞美,zàn měi,admire; applause; praise; to eulogize,5
暂且,zàn qiě,for now; for the time being; temporarily,6
暂时,zàn shí,temporary; provisional; for the time being,4
赞叹,zàn tàn,to sigh or gasp in admiration; high praise,6
赞同,zàn tóng,to approve of; to endorse; (vote) in favor; trad. also written 贊同,6
赞扬,zàn yáng,to praise; to approve of; to show approval,6
赞助,zàn zhù,to support; to assist; sponsor,6
脏,zāng,dirty,5
糟糕,zāo gāo,too bad; how terrible; what bad luck; terrible; bad,5
遭受,zāo shòu,"to suffer; to sustain (loss, misfortune)",6
糟蹋,zāo tà,to waste; to wreck; to despoil; to abuse; to slander; to insult; to defile; to trample on,6
遭殃,zāo yāng,to suffer a calamity,6
遭遇,zāo yù,to meet with; to encounter; (bitter) experience,6
早上,zǎo shang,early morning; CL:個|个[ge4]; Good morning!,2
造成,zào chéng,to bring about; to create; to cause,5
造反,zào fǎn,rebel; revolt,6
造型,zào xíng,modeling; mold-making; model or mold; molding,6
噪音,zào yīn,rumble; noise; static,6
则,zé,conjunction used to express contrast with a previous sentence or clause; standard; norm; rule; to imitate; to follow; then; principle; classifier for written items (such as an official statement),5
责备,zé bèi,to blame; to criticize sb,5
责怪,zé guài,to blame; to rebuke,6
责任,zé rèn,responsibility; blame; duty; CL:個|个[ge4],4
贼,zéi,thief; wily; deceitful; evil; extremely; disagreeably,6
怎么,zěn me,how?; what?; why?,1
怎么样,zěn me yàng,how?; how about?; how was it?; how are things?,1
增加,zēng jiā,to raise; to increase,4
增添,zēng tiān,add to; increase,6
增长,zēng zhǎng,to grow; to increase,4
赠送,zèng sòng,give as a present; present as a gift,6
渣,zhā,slag (in mining or smelting); dregs,6
扎,zhā,to prick; to run or stick (a needle etc) into; jug (a classifier for liquids such as beer),6
扎实,zhā shi,strong; solid; sturdy; firm; practical,6
眨,zhǎ,wink,6
诈骗,zhà piàn,to defraud; to swindle; to blackmail,6
摘,zhāi,"to take; to borrow; to pick (flowers, fruit etc); to pluck; to select; to remove; to take off (glasses, hat etc)",5
摘要,zhāi yào,summary; abstract,6
窄,zhǎi,narrow; narrow-minded; badly off,4
债券,zhài quàn,bond; debenture,6
沾光,zhān guāng,to bask in the light; fig. to benefit from association with sb or sth; reflected glory,6
粘贴,zhān tiē,"to stick; to affix; to adhere; to paste (as in cut, copy and paste)",5
瞻仰,zhān yǎng,to revere; to admire,6
斩钉截铁,zhǎn dīng jié tiě,to chop the nail and slice the iron (idiom); resolute and decisive; unhesitating; definitely; without any doubt,6
展开,zhǎn kāi,to unfold; to carry out; to be in full swing; to launch,5
展览,zhǎn lǎn,"to put on display; to exhibit; exhibition; show; CL:個|个[ge4],次[ci4]",5
展示,zhǎn shì,to reveal; to display; to show; to exhibit sth,6
展望,zhǎn wàng,outlook; prospect; to look ahead; to look forward to,6
展现,zhǎn xiàn,to come out; to emerge,6
崭新,zhǎn xīn,brand new,6
站,zhàn,station; to stand; to halt; to stop; branch of a company or organisation,3
战斗,zhàn dòu,"to fight; to battle; CL:場|场[chang2],次[ci4]",6
占据,zhàn jù,to occupy; to hold,6
占领,zhàn lǐng,to occupy (a territory); to hold,6
战略,zhàn lüè,strategy,6
战术,zhàn shù,tactics,6
占线,zhàn xiàn,busy (telephone),5
战役,zhàn yì,military campaign,6
占有,zhàn yǒu,to have; to own; to hold; to possess,6
战争,zhàn zhēng,"war; conflict; CL:場|场[chang2],次[ci4]",5
张,zhāng,"to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes",2
章程,zhāng chéng,rules; regulations; constitution; statute; articles of association (of company); articles of incorporation; charter (of a corporation); by-laws,6
长,zhǎng,chief; head; elder; to grow; to develop,3
涨,zhǎng,"to rise (of prices, rivers)",5
长辈,zhǎng bèi,elder generation,6
掌握,zhǎng wò,"to grasp (often fig.); to master; to know well; to understand sth well and know how to use it; fluency; to control; to seize (initiative, opportunity, destiny)",5
障碍,zhàng ài,barrier; obstruction; hindrance; impediment; obstacle,6
丈夫,zhàng fu,husband; CL:個|个[ge4],2
账户,zhàng hù,a bank account,5
帐篷,zhàng peng,"tent; CL:頂|顶[ding3],座[zuo4]",6
招待,zhāo dài,to receive (guests); to entertain; reception,5
招聘,zhāo pìn,recruitment; to invite applications for a job,4
朝气蓬勃,zhāo qì péng bó,full of youthful energy (idiom); vigorous; energetic; a bright spark,6
招收,zhāo shōu,to hire; to recruit,6
招投标,zhāo tóu biāo,bidding; tender,6
着急,zháo jí,to worry; to feel anxious,3
着凉,zháo liáng,catch cold,5
着迷,zháo mí,to be fascinated; to be captivated,6
找,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,2
沼泽,zhǎo zé,marsh; swamp; wetlands; glade,6
照常,zhào cháng,(business etc) as usual,5
照顾,zhào gu,to take care of; to show consideration; to attend to; to look after,3
召开,zhào kāi,to convene (a conference or meeting); to convoke; to call together,5
照料,zhào liào,to tend; to take care of sb,6
照片,zhào piàn,"photo; photograph; picture; CL:張|张[zhang1],套[tao4],幅[fu2]",3
照相机,zhào xiàng jī,"camera; CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]",3
照样,zhào yàng,as before; (same) as usual,6
照耀,zhào yào,shine; illuminate,6
照应,zhào yìng,to correlate with; to correspond to,6
遮挡,zhē dǎng,to shelter from; to keep out,6
折腾,zhē teng,to toss from side to side (e.g. sleeplessly); to repeat sth over and over again; to torment sb; to play crazy,6
折,zhé,to break; to snap; to suffer the loss of; to turn; to bend; to admire; to amount to; to discoun; to fold; turning stroke (in Chinese character); booklet,6
折磨,zhé mó,to persecute; to torment,6
哲学,zhé xué,philosophy; CL:個|个[ge4],5
这,zhè,"this; these; (commonly pr. zhei4 before a classifier, esp. in Beijing)",1
这儿,zhè r5,here,1
着,zhe,"particle attached after verb to indicate action in progress, like -ing ending",2
真,zhēn,really; truly; indeed; real; true; genuine,2
针对,zhēn duì,to be directed against; to be aimed at; to counter; in the light of; in connection with,5
珍贵,zhēn guì,precious,6
真理,zhēn lǐ,truth; CL:個|个[ge4],5
真实,zhēn shí,true; real,5
侦探,zhēn tàn,detective; to do detective work,6
珍惜,zhēn xī,treasure; value; cherish; Taiwan pr. zhen1 xi2,5
珍稀,zhēn xī,rare; precious and uncommon,6
真相,zhēn xiàng,the truth about sth; the actual facts,6
真正,zhēn zhèng,genuine; real; true; genuinely,4
真挚,zhēn zhì,sincere; sincerity,6
珍珠,zhēn zhū,pearl,6
斟酌,zhēn zhuó,to consider; to deliberate; to fill up a cup to the brim,6
诊断,zhěn duàn,diagnosis; to diagnose,5
枕头,zhěn tou,pillow,5
阵,zhèn,disposition of troops; wave; spate; burst; spell; short period of time; classifier for events or states of short duration,5
阵地,zhèn dì,position; front,6
镇定,zhèn dìng,calm; unperturbed; cool,6
振动,zhèn dòng,vibration,5
振奋,zhèn fèn,to stir oneself up; to raise one's spirits; to inspire,6
震惊,zhèn jīng,to shock; to astonish,6
镇静,zhèn jìng,calm; cool,6
