Word,Pronunciation,Definition,HSK Level
辩护,biàn hù,to speak in defense of; to argue in favor of; to defend; to plead,6
变化,biàn huà,change; variation; to change; to vary; CL:個|个[ge4],3
辩解,biàn jiě,to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself,6
便利,biàn lì,convenient; easy; facilitate,6
辩论,biàn lùn,"debate; argument; to argue over; CL:場|场[chang3],次[ci4]",5
变迁,biàn qiān,changes; vicissitudes,6
辨认,biàn rèn,to recognize; to identify,6
便条,biàn tiáo,"(informal) note; CL:張|张[zhang1],個|个[ge4]",6
便于,biàn yú,easy to; convenient for,6
辩证,biàn zhèng,investigate; dialectical,6
变质,biàn zhì,to degenerate; to go bad; to deteriorate; metamorphosis,6
辫子,biàn zi,"plait; braid; pigtail; a mistake or shortcoming that may be exploited by an opponent; handle; CL:根[gen1],條|条[tiao2]",6
标本,biāo běn,specimen; sample; the root cause and symptoms of a disease,6
标点,biāo diǎn,punctuation; a punctuation mark; to punctuate; CL:個|个[ge4],5
标记,biāo jì,sign; mark; symbol; to mark up,6
飙升,biāo shēng,to rise rapidly; to soar,6
标题,biāo tí,title; heading; headline; caption; subject,6
标志,biāo zhì,sign; mark; symbol; symbolize; to indicate; to mark,5
标准,biāo zhǔn,(an official) standard; norm; criterion; CL:個|个[ge4],4
表达,biǎo dá,to voice (an opinion); to express; to convey,4
表格,biǎo gé,"form; table; CL:張|张[zhang1],份[fen4]",4
表决,biǎo jué,decide by vote; vote,6
表面,biǎo miàn,surface; face; outside; appearance,5
表明,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,5
表情,biǎo qíng,(facial) expression; to express one's feelings; expression,5
表示,biǎo shì,to express; to show; to say; to state; to indicate; to mean,3
表态,biǎo tài,to declare one's position; to say where one stands,6
表现,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),5
表演,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3],3
表扬,biǎo yáng,to praise; to commend,4
表彰,biǎo zhāng,cite (in dispatches); commend,6
